timeElapsed,x,y,z,label
11.742,-0.770233154,0.181030273,0.622299194,sit
11.841,-0.767166138,0.187225342,0.62260437,sit
11.941,-0.767929077,0.181411743,0.622283936,sit
12.04,-0.775360107,0.179840088,0.62121582,sit
12.14,-0.763702393,0.182052612,0.627380371,sit
12.239,-0.77645874,0.183319092,0.627960205,sit
12.339,-0.762451172,0.17855835,0.620529175,sit
12.438,-0.752746582,0.184844971,0.631195068,sit
12.538,-0.759536743,0.178161621,0.631622314,sit
12.637,-0.769180298,0.181152344,0.626342773,sit
12.737,-0.774841309,0.179870605,0.621536255,sit
12.836,-0.76651001,0.177185059,0.623535156,sit
12.936,-0.763641357,0.179641724,0.632629395,sit
13.035,-0.766830444,0.179672241,0.632125854,sit
13.135,-0.765609741,0.164749146,0.635543823,sit
13.234,-0.800796509,0.188552856,0.58442688,sit
13.334,-0.794509888,0.21043396,0.615463257,sit
13.433,-0.747756958,0.197189331,0.620040894,sit
13.533,-0.762023926,0.192504883,0.617492676,sit
13.632,-0.767623901,0.199615479,0.613342285,sit
13.732,-0.789916992,0.196350098,0.608123779,sit
13.831,-0.77973938,0.18862915,0.610107422,sit
13.931,-0.767593384,0.184371948,0.619003296,sit
14.03,-0.767532349,0.184432983,0.612930298,sit
14.13,-0.776809692,0.18800354,0.606170654,sit
14.229,-0.786407471,0.18107605,0.600341797,sit
14.329,-0.770065308,0.186157227,0.618331909,sit
14.428,-0.768081665,0.181137085,0.615921021,sit
14.528,-0.758331299,0.198898315,0.58454895,sit
14.627,-0.763793945,0.183624268,0.615234375,sit
14.727,-0.77381897,0.170578003,0.619110107,sit
14.826,-0.777923584,0.17855835,0.613723755,sit
14.926,-0.779922485,0.180282593,0.613113403,sit
15.025,-0.766876221,0.18208313,0.622970581,sit
15.125,-0.766693115,0.181838989,0.620803833,sit
15.224,-0.77015686,0.179550171,0.618148804,sit
15.324,-0.775650024,0.17918396,0.613174438,sit
15.423,-0.777023315,0.18107605,0.619598389,sit
15.523,-0.769760132,0.179626465,0.623672485,sit
15.622,-0.768814087,0.17868042,0.621368408,sit
15.722,-0.764266968,0.183013916,0.625747681,sit
15.821,-0.769332886,0.176559448,0.627059937,sit
15.921,-0.774810791,0.179595947,0.621627808,sit
16.02,-0.770874023,0.178771973,0.620376587,sit
16.12,-0.766540527,0.180908203,0.619476318,sit
16.219,-0.771636963,0.177505493,0.622695923,sit
16.319,-0.768798828,0.18309021,0.624313354,sit
16.418,-0.77166748,0.180618286,0.624969482,sit
16.518,-0.772293091,0.179046631,0.618988037,sit
16.617,-0.768981934,0.181060791,0.623733521,sit
16.717,-0.770339966,0.182662964,0.623596191,sit
16.816,-0.768585205,0.179473877,0.623764038,sit
16.916,-0.769424438,0.180419922,0.623306274,sit
17.015,-0.770507813,0.175308228,0.623046875,sit
17.115,-0.768493652,0.181106567,0.624359131,sit
17.214,-0.77180481,0.187026978,0.621948242,sit
17.314,-0.770324707,0.177749634,0.613693237,sit
17.413,-0.778411865,0.176452637,0.624053955,sit
17.513,-0.76852417,0.184173584,0.614456177,sit
17.612,-0.767868042,0.188110352,0.620483398,sit
17.712,-0.772399902,0.186676025,0.619171143,sit
17.811,-0.753860474,0.184432983,0.642532349,sit
17.911,-0.717819214,0.057022095,0.576141357,sitToStand2
18.01,-0.703414917,0.084564209,0.559158325,sitToStand2
18.11,-0.780654907,0.175872803,0.640594482,sitToStand2
18.209,-0.777069092,0.204315186,0.66456604,sitToStand2
18.309,-0.861907959,0.414215088,0.603622437,sitToStand2
18.408,-0.776367188,0.560745239,0.535720825,sitToStand2
18.508,-0.743331909,0.625366211,0.443283081,sitToStand2
18.607,-0.656661987,0.580032349,0.405105591,sitToStand2
18.707,-0.572906494,0.72215271,0.275314331,sitToStand2
18.806,-0.446411133,0.66317749,0.274154663,sitToStand2
18.906,-0.358459473,0.807113647,0.237213135,sitToStand2
