,X,Y,Z,Activity
730,-1.3,3.75,7.6,Upstairs
731,-0.45,3.67,10.29,Upstairs
732,-0.98,3.79,9.53,Upstairs
733,-1.21,3.84,9.71,Upstairs
734,-1.37,3.66,9.84,Upstairs
735,-1.06,3.67,9.28,Upstairs
736,-1.37,3.73,9.13,Upstairs
737,-1.6,3.87,8.9,Upstairs
738,-1.67,3.83,8.57,Upstairs
739,-1.44,3.75,8.52,Upstairs
740,-1.75,3.84,8.86,Upstairs
741,-1.75,4.02,9.28,Upstairs
742,-2.04,3.88,9.31,Upstairs
743,-1.98,3.79,9.16,Upstairs
744,-1.71,3.83,8.92,Upstairs
745,-1.62,3.98,8.79,Upstairs
746,-1.64,4.06,8.55,Upstairs
747,-1.7,4.01,8.49,Upstairs
748,-1.68,4.03,8.59,Upstairs
749,-1.68,4.06,8.79,Upstairs
750,-1.44,4.14,9.07,Upstairs
751,-1.22,4.1,9.19,Upstairs
752,-1.33,4.09,9.02,Upstairs
753,-1.48,4.04,8.9,Upstairs
754,-1.61,4.05,8.69,Upstairs
755,-1.46,3.94,8.6,Upstairs
756,-1.27,4.05,8.63,Upstairs
757,-1.18,4.03,8.73,Upstairs
758,-1.2,4.01,8.85,Upstairs
759,-1.35,4.06,8.97,Upstairs
760,-1.2,3.97,9.15,Upstairs
761,-1.22,3.98,9.3,Upstairs
762,-1.13,4.06,9.29,Upstairs
763,-1.26,4.01,9.24,Upstairs
764,-1.32,3.94,9.23,Upstairs
765,-1.36,3.92,9.27,Upstairs
766,-1.18,3.97,9.12,Upstairs
767,-1.16,3.99,8.9,Upstairs
768,-1.16,3.98,8.85,Upstairs
769,-1.19,3.9,8.96,Upstairs
770,-1.16,3.85,9.1,Upstairs
771,-1.08,3.87,9.2,Upstairs
772,-1.11,3.84,9.24,Upstairs
773,-1.1,3.75,9.09,Upstairs
774,-1.06,3.77,9.07,Upstairs
775,-1.11,3.79,9.13,Upstairs
776,-1.18,3.75,9.2,Upstairs
777,-1.1,3.74,9.13,Upstairs
778,-1.14,3.75,9.05,Upstairs
779,-1.12,3.78,8.92,Upstairs
780,-1.03,3.75,8.95,Upstairs
781,-1.1,3.76,9.19,Upstairs
782,-1.1,3.82,9.22,Upstairs
783,-1.22,3.8,9.14,Upstairs
784,-1.37,3.76,9.07,Upstairs
785,-1.42,3.72,9.26,Upstairs
786,-1.43,3.8,9.39,Upstairs
787,-1.29,3.78,9.36,Upstairs
788,-1.25,3.76,9.19,Upstairs
789,-1.24,3.8,9.12,Upstairs
790,-1.21,3.78,9.17,Upstairs
791,-1.15,3.77,9.22,Upstairs
792,-1.15,3.71,9.17,Upstairs
793,-1.08,3.69,8.92,Upstairs
794,-1.1,3.71,8.75,Upstairs
795,-1.13,3.72,8.74,Upstairs
796,-1.15,3.65,8.84,Upstairs
797,-1.2,3.65,9.01,Upstairs
798,-0.94,3.67,9.22,Upstairs
799,-1.0,3.98,9.54,Upstairs
800,-1.45,3.66,9.79,Upstairs
801,-1.36,3.61,9.51,Upstairs
802,-1.27,3.89,8.77,Upstairs
803,-1.18,3.95,8.29,Upstairs
804,-1.2,4.0,8.54,Upstairs
805,-1.2,4.09,8.68,Upstairs
806,-1.21,4.03,8.95,Upstairs
807,-1.15,4.0,9.61,Upstairs
808,-1.17,4.04,9.86,Upstairs
809,-1.24,3.98,9.2,Upstairs
810,-1.15,3.96,8.98,Upstairs
811,-1.17,4.09,8.94,Upstairs
812,-1.25,4.17,9.21,Upstairs
813,-0.99,4.01,9.28,Upstairs
814,-1.24,4.04,8.53,Upstairs
815,-1.1,4.13,8.21,Upstairs
816,-1.29,4.11,8.52,Upstairs
817,-1.19,4.02,8.75,Upstairs
818,-1.08,4.02,9.39,Upstairs
819,-1.18,3.98,9.97,Upstairs
820,-1.21,3.95,9.7,Upstairs
821,-1.21,3.96,9.19,Upstairs
822,-1.15,4.09,8.61,Upstairs
823,-0.85,4.23,8.23,Upstairs
824,-0.03,4.4,8.52,Upstairs
825,-0.66,3.74,8.81,Upstairs
826,-1.3,3.99,9.19,Upstairs
827,-1.16,3.92,8.61,Upstairs
828,-0.97,4.12,7.82,Upstairs
829,-0.98,3.78,7.47,Upstairs
830,-1.15,3.35,8.77,Upstairs
831,-1.33,3.72,10.64,Upstairs
832,-0.22,3.36,11.44,Upstairs
833,-0.66,3.54,10.23,Upstairs
834,-1.02,3.57,8.33,Upstairs
835,-1.22,3.41,8.05,Upstairs
836,-0.84,3.18,9.71,Upstairs
837,-1.07,3.17,10.95,Upstairs
