,X,Y,Z,Activity
828,2.38,-9.5,-0.64,Standing
829,2.48,-9.53,-0.67,Standing
830,2.62,-9.32,-0.64,Standing
831,2.92,-8.76,-0.45,Standing
832,3.36,-8.71,-0.15,Standing
833,3.66,-9.28,-0.05,Standing
834,3.8,-9.73,-0.35,Standing
835,3.84,-9.59,-0.93,Standing
836,3.77,-9.19,-1.25,Standing
837,3.68,-8.94,-1.3,Standing
838,3.35,-8.97,-1.17,Standing
839,2.78,-9.29,-0.93,Standing
840,2.07,-9.55,-0.73,Standing
841,1.71,-9.7,-0.59,Standing
842,1.76,-9.72,-0.57,Standing
843,1.95,-9.69,-0.77,Standing
844,2.25,-9.81,-0.87,Standing
845,2.32,-9.8,-0.85,Standing
846,2.38,-9.68,-0.73,Standing
847,2.72,-9.41,-0.47,Standing
848,3.17,-9.01,-0.3,Standing
849,3.57,-8.86,-0.36,Standing
850,3.86,-9.03,-0.45,Standing
851,3.69,-9.25,-0.64,Standing
852,3.29,-9.38,-0.9,Standing
853,3.04,-9.48,-1.03,Standing
854,2.92,-9.42,-1.06,Standing
855,2.96,-9.32,-1.13,Standing
856,2.91,-9.29,-1.07,Standing
857,2.92,-9.38,-0.85,Standing
858,2.91,-9.39,-0.63,Standing
859,2.93,-9.37,-0.58,Standing
860,2.86,-9.37,-0.61,Standing
861,2.8,-9.39,-0.68,Standing
862,2.85,-9.4,-0.75,Standing
863,2.91,-9.33,-0.75,Standing
864,2.93,-9.26,-0.7,Standing
865,2.9,-9.35,-0.71,Standing
866,2.87,-9.42,-0.74,Standing
867,2.87,-9.44,-0.82,Standing
868,2.94,-9.41,-0.86,Standing
869,3.0,-9.38,-0.84,Standing
870,3.04,-9.32,-0.77,Standing
871,3.04,-9.3,-0.73,Standing
872,3.0,-9.3,-0.73,Standing
873,2.98,-9.34,-0.7,Standing
874,2.99,-9.35,-0.7,Standing
875,3.02,-9.32,-0.74,Standing
876,3.0,-9.34,-0.78,Standing
877,2.89,-9.39,-0.76,Standing
878,2.79,-9.41,-0.75,Standing
879,2.77,-9.42,-0.77,Standing
880,2.79,-9.42,-0.79,Standing
881,2.81,-9.4,-0.78,Standing
882,2.87,-9.41,-0.8,Standing
883,2.88,-9.42,-0.81,Standing
884,2.86,-9.44,-0.82,Standing
885,2.91,-9.36,-0.84,Standing
886,2.97,-9.33,-0.83,Standing
887,2.97,-9.36,-0.81,Standing
888,2.95,-9.36,-0.83,Standing
889,2.96,-9.36,-0.8,Standing
890,2.94,-9.39,-0.74,Standing
891,2.88,-9.42,-0.7,Standing
892,2.82,-9.42,-0.68,Standing
893,2.78,-9.44,-0.66,Standing
894,2.75,-9.43,-0.62,Standing
895,2.72,-9.38,-0.66,Standing
896,2.7,-9.39,-0.74,Standing
897,2.76,-9.44,-0.73,Standing
898,2.8,-9.39,-0.7,Standing
899,2.87,-9.34,-0.7,Standing
900,2.93,-9.39,-0.73,Standing
901,2.94,-9.37,-0.8,Standing
902,2.96,-9.38,-0.85,Standing
903,2.99,-9.4,-0.9,Standing
904,3.02,-9.37,-0.89,Standing
905,3.04,-9.32,-0.85,Standing
906,3.03,-9.31,-0.78,Standing
907,3.0,-9.35,-0.75,Standing
908,2.96,-9.38,-0.78,Standing
909,2.93,-9.33,-0.8,Standing
910,2.94,-9.3,-0.78,Standing
911,2.89,-9.39,-0.73,Standing
912,2.8,-9.44,-0.68,Standing
913,2.74,-9.45,-0.65,Standing
914,2.77,-9.4,-0.7,Standing
915,2.93,-9.33,-0.78,Standing
916,3.01,-9.33,-0.78,Standing
917,3.01,-9.37,-0.76,Standing
918,2.94,-9.38,-0.72,Standing
919,2.87,-9.37,-0.73,Standing
920,2.85,-9.4,-0.76,Standing
921,2.87,-9.39,-0.79,Standing
922,2.9,-9.4,-0.74,Standing
923,2.88,-9.39,-0.67,Standing
924,2.89,-9.39,-0.63,Standing
925,2.89,-9.37,-0.67,Standing
926,2.88,-9.41,-0.75,Standing
927,2.87,-9.39,-0.75,Standing
928,2.87,-9.37,-0.71,Standing
929,2.9,-9.37,-0.71,Standing
930,2.9,-9.43,-0.7,Standing
931,2.89,-9.42,-0.69,Standing
932,2.84,-9.39,-0.68,Standing
933,2.8,-9.39,-0.66,Standing
