timeElapsed,x,y,z,label
935,1.65,-8.13,3.08,Standing
936,2.08,-7.95,3.23,Standing
937,2.21,-8.11,3.1,Standing
938,2.08,-8.22,2.94,Standing
939,2,-8.22,2.93,Standing
940,1.92,-8.3,2.92,Standing
941,2.01,-8.17,2.94,Standing
942,2.12,-8.07,3.1,Standing
943,2.04,-8.12,3.14,Standing
944,1.79,-8.07,2.99,Standing
945,1.73,-8.03,3.11,Standing
946,1.88,-8.08,3.19,Standing
947,1.98,-8.15,3.06,Standing
948,1.99,-8.12,3.04,Standing
949,1.96,-8.08,3.08,Standing
950,1.88,-8.14,2.96,Standing
951,1.95,-8.19,2.85,Standing
952,2.04,-8.17,2.86,Standing
953,2.1,-8.18,2.96,Standing
954,2.06,-8.17,2.97,Standing
955,1.94,-8.15,2.99,Standing
956,2.03,-8.14,2.95,Standing
957,2.14,-8.12,2.99,Standing
958,2.1,-8.13,3.1,Standing
959,1.91,-8.06,3.11,Standing
960,1.8,-8.01,3.11,Standing
961,1.82,-8.06,3.09,Standing
962,1.9,-8.11,3.02,Standing
963,1.89,-8.14,2.99,Standing
964,1.84,-8.15,3.01,Standing
965,1.84,-8.21,3.02,Standing
966,1.91,-8.22,2.93,Standing
967,1.93,-8.12,2.96,Standing
968,1.93,-8.1,3.1,Standing
969,1.97,-8.07,3.07,Standing
970,2,-8.08,2.93,Standing
971,2.12,-8.18,3,Standing
972,2.04,-8.06,3.24,Standing
973,2,-7.96,3.22,Standing
974,2.13,-7.96,2.91,Standing
975,2.04,-8.05,2.9,Standing
976,1.86,-8.08,3.03,Standing
977,1.99,-8.08,3.07,Standing
978,1.99,-8.11,2.88,Standing
979,1.84,-8.1,2.93,Standing
980,1.81,-7.91,3.11,Standing
981,1.87,-7.82,3.08,Standing
982,1.77,-8.11,3.02,Standing
983,1.62,-8.88,2.83,Standing
984,1.59,-9.06,2.18,Standing
985,1.66,-8.04,2.15,Standing
986,0.53,-8.23,2,Standing
987,1.51,-8.98,1.9,Standing
988,2.08,-8.56,2.47,Standing
989,2.1,-8.42,1.75,Standing
990,1.86,-8.52,1.6,Standing
991,1.71,-8.68,1.76,Standing
992,1.79,-8.55,1.74,Standing
993,2.18,-8.41,1.64,Standing
994,2.33,-8.31,1.45,Standing
995,2.09,-8.34,1.4,Standing
996,1.9,-8.21,1.41,Standing
997,1.89,-8.34,1.55,Standing
998,1.97,-8.63,1.69,Standing
999,1.95,-8.55,1.26,Standing
1000,1.74,-8.53,0.96,Standing
1001,1.89,-8.54,1.2,Standing
1002,1.97,-8.51,1.29,Standing
1003,2,-8.54,1.21,Standing
1004,1.99,-8.5,1.2,Standing
1005,1.97,-8.51,1.22,Standing
1006,2,-8.59,1.18,Standing
